iter	Passed	Remaining
0	0	89
1	1	82
2	2	78
3	3	73
4	3	71
5	4	73
6	5	76
7	6	74
8	7	73
9	8	72
10	8	70
11	9	70
12	10	68
13	11	67
14	11	67
15	12	66
16	13	65
17	14	64
18	14	63
19	15	62
20	16	61
21	17	62
22	18	61
23	19	60
24	19	59
25	20	59
26	21	58
27	22	58
28	23	57
29	24	56
30	25	55
31	25	55
32	26	54
33	27	53
34	28	52
35	28	51
36	30	51
37	30	50
38	31	49
39	32	49
40	33	48
41	34	47
42	35	46
43	35	45
44	36	44
45	37	44
46	38	43
47	39	42
48	40	41
49	41	41
50	42	40
51	42	39
52	43	38
53	44	37
54	44	36
55	45	35
56	46	34
57	47	34
58	47	33
59	48	32
60	49	31
61	50	30
62	51	30
63	51	29
64	52	28
65	53	27
66	54	26
67	55	25
68	56	25
69	56	24
70	57	23
71	58	22
72	59	22
73	60	21
74	61	20
75	61	19
76	62	18
77	63	17
78	64	17
79	65	16
80	66	15
81	66	14
82	67	13
83	68	13
84	69	12
85	70	11
86	70	10
87	71	9
88	72	8
89	73	8
90	73	7
91	74	6
92	75	5
93	76	4
94	76	4
95	77	3
96	78	2
97	79	1
98	80	0
99	81	0
